"#### Capture rates of each bat species. Number of individual captures per 1000 mist net hours (using 12 x 2.6 m nets), divided by total mist net hours ####",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site,Type,Ametrida centurio,Artibeus concolor,Artibeus glaucus,Artibeus gnomus,Artibeus lituratus,Artibeus obscurus,Artibeus planirostris,Chrotopterus auritus,Carollia brevicauda,Cormura brevirostris,Choeroniscus minor,Carollia perspicillata,Chiroderma trinitatum,Chiroderma villosum,Desmodus rotundus,Eumops auripendulus,Glyphonycteris daviesi,Glossophaga soricina,Glyphonycteris sylvestris,Lophostoma brasiliense,Lophostoma carrikeri,Lophostoma schulzi,Lophostoma silvicolum,Lionycteris spurrelli,Lonchophylla thomasi,Myotis albescens,Micronycteris brosseti,Mimon crenulatum,Micronycteris hirsute,Mesophylla macconnelli,Micronycteris megalotis,Micronycteris microtis,Micronycteris minuta,Phyllostomus discolor,Phyllostomus elongatus,Phyllostomus hastatus,Platyrrhinus helleri,Peropteryx leucoptera,Pteronotus parnellii,Phylloderma stenops,Rhinophylla pumilio,Saccopteryx bilineata,Sturnira lilium,Sturnira tildae,Trachops cirrhosus,Trinycteris nicefori,Tonatia saurophila,Uroderma bilobatum,Vampyressa bidens,Vampyressa pusilla
K43-4U,U,0,0,0,2.31,2.31,2.31,2.31,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0
K43-4L,L,0,0,0,0,0,0,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0
K43-3U,U,0,0,0,2.36,7.09,7.09,2.36,2.36,0,0,4.73,2.36,0,0,2.36,0,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,2.36
K43-3L,L,0,0,0,7.94,0,0,3.97,0,0,0,7.94,3.97,0,0,0,0,0,3.97,0,0,3.97,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,0,0,0,3.97,3.97,3.97,0,0,0,3.97,0,3.97,3.97,0,0
K43-2U,U,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0
K43-2L,L,0,0,0,2.5,0,7.49,0,0,0,0,0,4.99,0,0,0,0,0,2.5,0,0,0,0,4.99,0,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,2.5,0,4.99,0,0,0,2.5,0,0,0,0,0
K43-1U,U,0,0,0,1.85,7.41,1.85,5.56,0,0,0,3.7,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,1.85,0
K43-1L,L,0,0,0,5.16,0,2.58,0,0,0,0,2.58,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,2.58,0,7.74,0,0,0,0,0,2.58,0,5.16,0
K41-4U,U,0,4.63,0,2.31,46.3,20.83,9.26,4.63,0,0,0,6.94,2.31,6.94,0,0,0,0,0,4.63,0,0,0,0,0,0,0,2.31,0,4.63,0,0,0,0,2.31,0,0,0,0,0,32.41,0,0,2.31,0,0,4.63,0,0,0
K41-4L,L,0,0,3,0,87.09,6.01,6.01,0,0,0,0,9.01,0,0,0,0,0,0,0,0,0,3,6.01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9.01,0,15.02,0,0,0,0,0,3,3,3,0
K41-3U,U,0,0,0,0,2.31,0,9.26,2.31,0,0,2.31,0,0,0,0,0,2.31,0,0,0,0,2.31,0,0,0,0,0,0,0,2.31,2.31,0,0,2.31,6.94,0,0,0,18.52,0,4.63,0,0,0,0,0,2.31,0,2.31,0
K41-3L,L,2.58,0,0,2.58,25.84,7.75,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,2.58,0,0,0,2.58,0,10.34,0,0,0,0,0,0,2.58,0,0,0,5.17,0,10.34,0,0,0,0,0,2.58,0,2.58,0
K41-2U,U,0,0,0,0,0,0,9.66,4.83,0,0,7.25,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,16.91,0,0,0,2.42,0,0,4.83,0,0,0,12.08,0,4.83,0,0,0,2.42,0,0,0,0,0
K41-2L,L,3.09,0,0,3.09,6.17,3.09,0,0,0,0,0,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0,0,3.09,0,3.09,0,0,0,18.52,0,0,0,0,0,0,0,6.17,0
K41-1U,U,0,4.36,0,0,30.5,23.97,8.71,0,0,0,2.18,4.36,2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,2.18,2.18,0,0,0,4.36,2.18,0,0,4.36,0,17.43,0,0,0,4.36,0,0,0,2.18,0
K41-1L,L,0,0,0,2.78,63.89,19.44,5.56,0,0,0,0,22.22,0,0,0,0,2.78,2.78,0,0,0,0,5.56,0,0,0,2.78,5.56,0,0,0,0,2.78,0,0,0,0,0,5.56,0,41.67,0,2.78,0,2.78,0,0,0,0,0
K39-4U,U,0,0,0,0,9.26,9.26,0,2.31,0,0,2.31,0,6.94,2.31,4.63,0,0,0,0,0,0,0,9.26,0,0,0,0,2.31,0,2.31,0,4.63,0,0,0,0,0,0,0,0,25.46,0,0,0,0,0,2.31,0,2.31,0
K39-4L,L,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K39-3U,U,0,0,0,10.75,32.26,17.92,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.34,0,0,0,3.58,0,7.17,0,3.58,0
K39-3L,L,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,3.09,0,0,3.09,0,0,0,9.26,0,21.6,0,0,0,0,0,0,0,0,0
K39-2U,U,0,0,0,2.42,48.31,9.66,9.66,2.42,0,0,0,4.83,0,0,4.83,0,0,0,0,0,0,0,7.25,0,0,0,0,2.42,0,0,0,4.83,0,0,0,0,0,0,0,0,7.25,0,0,2.42,2.42,0,7.25,0,0,0
K39-2L,L,0,0,0,2.31,0,2.31,6.94,2.31,0,0,0,6.94,0,0,0,0,0,0,0,0,0,2.31,4.63,0,0,0,0,2.31,0,0,0,2.31,0,0,0,0,0,0,6.94,0,16.2,0,0,0,2.31,0,2.31,4.63,9.26,0
K39-1U,U,0,0,0,0,48.31,14.49,16.91,4.83,0,0,0,0,2.42,0,0,0,0,2.42,0,0,0,0,4.83,0,0,0,0,0,2.42,0,0,0,0,0,2.42,0,0,0,0,0,7.25,0,0,0,2.42,0,4.83,0,7.25,0
K39-1L,L,0,0,0,0,0,2.85,5.7,0,0,2.85,0,0,0,0,0,0,0,5.7,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,17.09,0,0,2.85,0,0,0,0,11.4,0
E6-2U,U,0,0,0,11.57,53.24,9.26,37.04,0,0,0,0,18.52,0,0,0,0,0,0,0,6.94,0,0,0,6.94,0,0,0,4.63,0,4.63,0,0,0,0,2.31,4.63,0,0,0,0,16.2,0,0,0,0,0,0,4.63,2.31,0
E6-2L,L,0,0,0,5.05,10.1,5.05,10.1,0,2.53,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,0,0,0,0,5.05,0,0,2.53,0,0,22.73,0,0,0,0,0,0,0,0,0
E6-1U,U,0,0,0,2.31,20.83,6.94,16.2,2.31,0,0,0,4.63,0,0,0,0,11.57,0,0,2.31,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,9.26,0,0,0,0,6.94,20.83,0,0,2.31,0,0,0,4.63,2.31,0
E6-1L,L,0,0,0,0,18.52,12.35,18.52,0,0,0,3.09,3.09,0,0,0,0,0,0,0,6.17,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,15.43,0,0,0,0,0,18.52,0,0,0,0,0,9.26,0,3.09,0
E4-3U,U,0,0,0,1.85,25.93,11.11,16.67,0,0,0,1.85,3.7,0,0,0,0,0,3.7,0,1.85,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,0,11.11,0,0,0,1.85,0,0,0,0,0
E4-3L,L,0,0,0,0,0,9.26,3.09,0,0,0,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,0,0,3.09,0,0,0,0,0,0,0,0,0,0,6.17,0,3.09,0,0,0,0,0,0,0,0,0
E4-2U,U,0,0,0,0,9.66,0,0,0,0,0,2.42,0,0,0,0,0,0,12.08,2.42,0,0,0,0,0,0,0,4.83,2.42,4.83,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,2.42,0,0,0,0,0
E4-2L,L,0,0,0,0,0,2.31,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,2.31,2.31,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,2.31,0,4.63,0,0,0,0,0,0,0,0,0
E4-1U,U,0,0,0,2.42,31.4,19.32,14.49,0,0,0,0,0,0,0,2.42,2.42,2.42,9.66,0,0,0,0,0,0,4.83,0,0,4.83,0,0,0,0,0,0,9.66,2.42,0,0,0,0,12.08,0,0,0,2.42,0,0,4.83,0,0
E4-1L,L,0,0,0,6.17,0,0,3.09,0,0,0,0,3.09,0,0,0,0,3.09,0,0,0,0,0,9.26,0,3.09,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09
C-1B,CB,0,6.54,0,6.54,29.41,3.27,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54,0,0,0,3.27,0,0,0,0,0
C-1A,CA,0,0,0,0,0,10.46,2.61,2.61,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0,2.61,0,13.07,2.61,0,2.61,5.23,0,2.61,0,0,0
C-2B,CB,0,0,0,3.27,3.27,6.54,0,0,0,0,0,0,0,0,0,0,0,3.27,0,0,0,0,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,3.27,0,0,0,0,0
C-2A,CA,0,0,0,9.52,0,12.7,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,9.52,0,0,0,6.35,0,0,0,3.17,0
C-3B,CB,0,3.37,0,3.37,6.73,6.73,6.73,0,0,0,3.37,3.37,0,0,6.73,0,0,3.37,0,0,0,0,16.84,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,0,3.37,0,0,3.37,10.1,3.37,0,0,0,3.37
C-3A,CA,0,0,0,3.37,0,10.1,3.37,3.37,0,0,0,6.73,0,0,0,0,0,0,0,0,0,0,16.84,0,0,0,0,6.73,0,0,0,3.37,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0
