DATE,PLOT ID,P1 (3-6),,P1 (9-12),,P1 (15-18),,P2 (3-6),,P2 (9-12),,P2 (15-18),,P3 (3-6),,P3 (9-12),,P3 (15-18),,P4 (3-6),,P4 (9-12),,P4 (15-18),,MIDDLE (3-6),,MIDDLE (9-12),,MIDDLE (15-18),,CENTER (3-6),,CENTER (9-12),,CENTER (15-18),,Month,Early/Late,
5/24/2017 00:00,1-1-C,0,15,0,14.8,0.04,14.6,0,14.5,0,14.3,0.03,14.5,0.03,14.7,0.03,14.7,0.05,14.5,0.02,14.5,0.04,14.6,0.14,14.3,NA,NA,NA,NA,NA,NA,0,15.4,0.02,15.3,0.06,15.2,May,L,MayL
6/2/2017 00:00,1-1-C,0.03,16.2,0.02,15.4,0.02,15,0.02,16,0.01,14.9,0.03,14.6,0.02,15.8,0.05,14.8,0.03,14.5,0.02,15.6,0.04,14.9,0.06,14.6,NA,NA,NA,NA,NA,NA,0.02,16,0.03,15.3,0.07,14.6,June,E,JuneE
6/8/2017 00:00,1-1-C,0,14.9,0,14.4,0.03,14.1,0,15,0,14.5,0.07,14.2,0,14.5,0.01,14.3,0.06,13.9,0,14.7,0.01,14.5,0.04,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
7/11/2017 00:00,1-1-C,0.02,18.6,0.02,17.8,0.02,17.5,0,18.5,0.01,17.8,0.05,17.4,0,18.7,0.01,17.8,0.05,17.4,0.02,18.5,0.03,18,0.04,17.7,NA,NA,NA,NA,NA,NA,0.01,18.6,0.01,17.9,0.02,17.2,July,E,JulyE
5/24/2017 00:00,1-1-I,0,15.2,0.03,14.7,0.14,13.8,0.03,14.7,0.02,14.8,0.06,14.5,0.03,14.8,0.07,14.4,0.18,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,15.3,0.06,14.4,0.2,14.3,May,L,MayL
6/2/2017 00:00,1-1-I,0.03,15.8,0.1,15,0.13,14.7,0.03,15.5,0.05,15,0.1,14.6,0,15.9,0.02,15.5,0.1,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,15.8,0.02,15.2,0.02,14.7,June,E,JuneE
6/8/2017 00:00,1-1-I,0.02,14.3,0.07,14,0.11,13.5,0.01,14.5,0.01,13.9,0.11,13.5,0.02,14.8,0,14,0.12,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,14.9,0.02,14,0.17,13.6,June,E,JuneE
7/11/2017 00:00,1-1-I,0.04,18.1,0.05,17.7,0.15,17.2,0.04,18.2,0.06,17.7,0.17,16.9,0.01,18.2,0.07,17.7,0.19,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,18.1,0.05,17.5,0.14,17,July,E,JulyE
5/25/2017 00:00,1-1-R,0.04,14.9,0.03,15.5,0.08,14.8,0.04,15.1,0.03,15.1,0.09,15,0.04,15,0.03,15.4,0.08,14.8,NA,NA,NA,NA,NA,NA,0.02,15.5,0.02,15.5,0.09,14.7,0.04,15.5,0.03,15.1,0.06,15,May,L,MayL
6/2/2017 00:00,1-1-R,0.05,16.3,0.08,15.7,0.06,15,0.07,16.2,0.04,15.8,0.03,14.9,0.04,16.1,0.04,15.6,0.05,15,NA,NA,NA,NA,NA,NA,0.03,15.7,0.08,15.3,0.07,14.8,0.04,16.5,0.03,16.3,0.05,14.8,June,E,JuneE
6/8/2017 00:00,1-1-R,0.05,15,0.05,14.6,0.09,13.9,0.08,14.9,0.03,14.4,0.07,14.1,0,15.1,0.02,14.4,0.08,14.1,NA,NA,NA,NA,NA,NA,0,15.3,0.15,14.7,0.17,14,0,15.3,0.02,14.7,0.06,14.3,June,E,JuneE
7/11/2017 00:00,1-1-R,0.04,18.6,0.04,18.2,0.11,17.5,0.05,18.6,0.04,18.1,0.19,17.6,0.04,18.6,0.09,18,0.13,17.7,NA,NA,NA,NA,NA,NA,0,18.5,0.02,18.3,0.09,17.6,0.05,18.6,0.05,18.1,0.07,17.8,July,E,JulyE
5/26/2017 00:00,1-2-C,0.02,14.3,0.01,14.5,0.04,13.7,0,14.5,0,13.7,0.01,13.2,0.02,14.2,0.06,13.6,0.05,13.3,0.04,14.1,0.07,14.2,0.02,13.4,NA,NA,NA,NA,NA,NA,0.4,15.1,0.04,14.4,0,13.8,May,L,MayL
6/3/2017 00:00,1-2-C,0.03,14.7,0,14.4,0.02,14.2,0.03,14.8,0.01,14.5,0.11,14,0.04,14.7,0.02,14.5,0.02,14.1,0.03,14.9,0.01,14.4,0.03,14.2,NA,NA,NA,NA,NA,NA,0.03,14.7,0.04,14.3,0,14.1,June,E,JuneE
6/12/2017 00:00,1-2-C,0.01,17.1,0,16.2,0.03,14.4,0.07,16.9,0.05,15.9,0.07,15,0.06,17.1,0.01,16,0.08,14.8,0.02,17.2,0.01,16.2,0.03,15,NA,NA,NA,NA,NA,NA,0.05,17.2,0,16,0.03,15,June,L,JuneL
5/26/2017 00:00,1-2-I,0.01,14.8,0.01,14.9,0,14.8,0.01,15,0.03,14.5,0.03,14.2,0.03,15.3,0.03,14.5,0.02,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,0,13.9,0.02,13.7,May,L,MayL
6/3/2017 00:00,1-2-I,0,14.5,0.03,14,0.02,13.8,0.03,15.6,0.03,15,0.05,14.2,0.04,14.8,0.04,14.1,0.04,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,14.7,0.03,14.2,0.03,14.1,June,E,JuneE
6/12/2017 00:00,1-2-I,0.02,17.3,0.01,16.3,0.01,15.4,0.02,17,0.03,16.2,0.02,15.5,0.03,17.4,0.02,16.4,0.06,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17.5,0,15.9,0.03,15.2,June,L,JuneL
5/26/2017 00:00,1-2-R,0.01,15.4,0.05,15,0,14.4,0.02,14.6,0,14.5,0,14.7,0,15.3,0.05,14.4,0.01,14.2,NA,NA,NA,NA,NA,NA,0.02,14.6,0.02,14.9,0,14.5,0.01,14.8,0.01,14.9,0,13.7,May,L,MayL
6/3/2017 00:00,1-2-R,0.01,15.5,0.02,15.2,0,14.4,0.02,15.3,0,15,0,14.3,0.11,15,0.01,14.8,0,14.7,NA,NA,NA,NA,NA,NA,0.05,15.9,0.04,14.5,0.02,14,0.04,15.4,0.02,15,0,14.5,June,E,JuneE
6/12/2017 00:00,1-2-R,0.02,17.2,0.03,15.1,0.04,14.8,0.01,17.3,0,15.8,0,15.2,0,17.4,0.01,15.6,0.01,15,NA,NA,NA,NA,NA,NA,0.04,17.1,0.02,16.2,0.04,15.2,0.03,17.2,0.07,16.2,0.03,15.1,June,L,JuneL
5/26/2017 00:00,1-3-C,0.02,14.9,0.03,14.3,0.03,14.3,0.02,14.9,0.03,14.3,0.03,14.2,0.01,14.7,0.01,14.4,0.01,13.7,0,14.5,0.01,14.1,0.02,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
6/3/2017 00:00,1-3-C,0.04,16,0.02,15,0,14.6,0.01,15.8,0,15.5,0,14.3,0.05,15.5,0.08,15.1,0,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,15.6,0,15.6,0,14.6,June,E,JuneE
6/12/2017 00:00,1-3-C,0.02,17.5,0,15.4,0,14.4,0.01,17.4,0,15.8,0,14.9,0.01,17,0,15.6,0,15,0.04,16.7,0,15.5,0,14.5,NA,NA,NA,NA,NA,NA,0.03,17.1,0,15.2,0,14.4,June,L,JuneL
5/26/2017 00:00,1-3-I,0.03,14.6,0.02,14.7,0.01,14.4,0.02,14.6,0.01,14.8,0.01,15.5,0.02,15.5,0.01,15.4,0.01,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,15,0.01,14.5,0.01,14.6,May,L,MayL
6/3/2017 00:00,1-3-I,0.03,14.8,0,14.5,0,13.9,0.01,15,0.04,14.3,0,13.7,0.02,14.9,0.07,14.2,0.01,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,15.1,0.02,14.4,0,14,June,E,JuneE
6/12/2017 00:00,1-3-I,0.01,18.2,0,16.3,0,15,0,17.9,0,16.1,0,15.3,0.03,17.7,0.06,15.8,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17.3,0,15.9,0,14.9,June,L,JuneL
5/26/2017 00:00,1-3-R,0.02,15.2,0.01,14.2,0.01,14.5,0.03,15.5,0.01,15.3,0.01,15,0.02,15.4,0.04,15,0.01,15,NA,NA,NA,NA,NA,NA,0.04,15,0.06,15.4,0.01,15,0.03,15.2,0.01,15,0.01,15.5,May,L,MayL
6/3/2017 00:00,1-3-R,0,16.1,0,15.2,0,14.8,0.03,15.8,0.02,15.2,0,14.7,0.03,15.5,0,15,0,14.6,NA,NA,NA,NA,NA,NA,0.03,16.7,0.01,15.1,0,14.2,0.03,15.1,0.02,14.4,0,14,June,E,JuneE
6/12/2017 00:00,1-3-R,0,19,0,15.9,0,15,0,19.1,0,16.2,0.01,15.2,0,18.5,0,16,0,15.1,NA,NA,NA,NA,NA,NA,0,18.6,0,17,0.03,14.9,0,15.8,0,16.6,0,15,June,L,JuneL
6/2/2017 00:00,2-1-C,0.02,15.7,0.01,15,0.1,14.7,0.02,15.6,0.03,14.8,0.05,14.6,0.02,15.2,0.03,15.1,0.1,14.5,0.02,15.8,0.03,14.9,0.05,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
6/8/2017 00:00,2-1-C,0,14.6,0,14.2,0.08,13.9,0,14.6,0,14.3,0.07,14,0,14.5,0.04,14.1,0.12,12.9,0,14.6,0.06,14.2,0.08,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
7/10/2017 00:00,2-1-C,0.03,17.9,0.07,17.6,0.08,17.2,0,17.9,0.1,17.5,0.14,17.3,0,18,0.08,17.7,0.12,17.4,0,17.8,0.04,17.5,0.09,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
5/24/2017 00:00,2-1-C,0.08,15.1,0.03,14.4,0.05,14.3,0.02,15,0.02,14.1,0.02,14.5,0,14.6,0.04,14.1,0,14,0.03,14.7,0.02,14.2,0.03,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
6/2/2017 00:00,2-1-I,0.03,14.9,0.08,14.4,0.07,14,0.03,14.8,0.05,14.1,0.11,13.6,0.03,14.7,0.09,14.2,0.09,13.6,0.05,15,0.07,14.1,0.07,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
6/8/2017 00:00,2-1-I,0.03,14.1,0.08,13.6,0.06,13.3,0,14,0.02,13.4,0.1,13.2,0.03,14.3,0.05,13.7,0.08,13.4,0.07,14.4,0.07,13.9,0.05,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
7/10/2017 00:00,2-1-I,0.01,17.6,0.16,17.2,0.1,16.5,0,17.3,0.14,17,0.12,17.2,0,17.4,0.12,17.2,0.1,16.4,0.02,17.4,0.08,17.2,0.09,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
5/24/2017 00:00,2-1-I,0.04,14.5,0.05,14.4,0.06,14.5,0.04,14.1,0.05,14.3,0.05,13.9,0.03,14,0.02,14.5,0.07,13.1,0.03,14.6,0.08,14.2,0.07,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
6/2/2017 00:00,2-1-R,0.04,16.8,0.14,15,0.13,14.7,0,15.9,0.02,15,0.13,14.6,0,15.6,0,15.2,0.09,14.4,0,15.8,0,15.3,0.03,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
6/8/2017 00:00,2-1-R,0,14.5,0.03,14.2,0.16,13.8,0,14.6,0.11,14.3,0.26,14,0,14.6,0,14.4,0.26,14,0.03,14.7,0,14.3,0.12,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
7/10/2017 00:00,2-1-R,0.08,18.1,0.04,17.9,0.16,17.6,0.03,18.2,0.12,18,0.28,17.5,0,18.3,0.02,18,0.16,17.7,0.02,18.2,0.01,17.8,0.15,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
5/24/2017 00:00,2-1-R,0,14.5,0.08,14.1,0.12,14.2,0.01,14.6,0.04,14.6,0.12,14.2,0,14.6,0.04,14.4,0.12,13.8,0.03,14.7,0,14.2,0.08,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
5/26/2017 00:00,2-2-C,0.06,14.6,0.04,14,0.04,13.6,0.04,13.9,0.03,14.4,0.03,14.3,0.06,14.9,0.06,14.3,0.11,13.6,0.05,14.5,0.05,14.3,0.1,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
7/19/2017 00:00,2-2-C,0.05,20.4,0.04,19.3,0.04,18.9,0.06,20.6,0.05,19.2,0.05,18.8,0.04,20.4,0.07,19.2,0.06,18.5,0.07,20.3,0.06,19.4,0.06,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
6/3/2017 00:00,2-2-C,0.06,15.3,0.04,14.8,0.04,14,0.05,15.6,0.03,15,0.04,14.2,0.03,15.4,0.04,14.7,0.05,14.3,0.04,15.1,0.05,14.6,0.11,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
6/13/2017 00:00,2-2-C,0.04,19,0.03,16.5,0.04,15.8,0.06,18.8,0.15,16.5,0.12,16,0.05,18.6,0.04,16.7,0.07,15.2,0.06,18.8,0.05,17,0.09,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
5/26/2017 00:00,2-2-I,0.03,14.5,0.05,14,0.05,13.4,0.05,14.3,0.04,14,0.03,14,0.05,14.5,0.03,14.3,0.04,13.9,0.02,13.9,0.04,14,0.07,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
7/19/2017 00:00,2-2-I,0.05,19.6,0.04,18.2,0.06,17.7,0.04,19.4,0.02,18.4,0.05,17.8,0.05,18.9,0.03,18.8,0.06,18,0.05,19.5,0.04,18.5,0.04,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
6/3/2017 00:00,2-2-I,0.08,15,0.03,13.6,0.06,13.5,0.05,15.1,0.03,13.8,0.05,13.6,0.1,14.7,0.03,13.8,0.06,13.6,0.05,15.2,0.02,14,0.05,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
6/13/2017 00:00,2-2-I,0.03,18,0.02,16.4,0.03,15.2,0.05,17.9,0.03,16.9,0.04,15,0.04,17.6,0.03,16,0.04,15.3,0.05,17.8,0.03,15.9,0.05,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
5/26/2017 00:00,2-2-R,0.06,15.1,0.07,14.1,0.1,13.7,0.06,14.9,0.06,13.9,0.09,13.4,0.07,15.5,0.03,13.7,0.05,13.9,0.05,14.5,0.07,14.2,0.06,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
7/19/2017 00:00,2-2-R,0.13,21.1,0.05,19.8,0.11,19,0.04,21.3,0.03,19.7,0.05,19.1,0.07,21,0.04,19.9,0.25,18.9,0.04,21.2,0.07,19.6,0.14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
6/3/2017 00:00,2-2-R,0.08,15.9,0.03,14.9,0.07,14.5,0.11,15.7,0.02,14.6,0.04,14.3,0.05,15.4,0.02,14.8,0.04,14.2,0.06,15.6,0.05,15,0.08,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
6/13/2017 00:00,2-2-R,0.04,19.8,0.06,18.5,0.1,16,0.03,19.9,0.03,18.3,0.07,15.7,0.04,19.7,0.03,18.5,0.03,15.8,0.08,20,0.05,18.4,0.12,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
5/26/2017 00:00,2-3-C,0.02,17.6,0.02,16.7,0.02,15.2,0.04,17.3,0.04,16.4,0.06,15.4,0.05,16.1,0.07,15.6,0.08,15,0.03,16.2,0.09,15.4,0.11,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
7/19/2017 00:00,2-3-C,0.06,20.6,0.06,19.8,0.2,18.7,0.03,20.8,0.07,19.7,0.13,18.9,0.05,20.6,0.05,19.8,0.08,18.7,0.04,20.7,0.04,19.8,0.14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
6/4/2017 00:00,2-3-C,0.03,15.9,0.03,14.9,0.012,14.5,0.03,15.8,0.05,15,0.2,14.7,0.04,16,0.04,15.2,0.03,14.8,0.02,16.1,0.02,15.4,0,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
6/13/2017 00:00,2-3-C,0.02,19.8,0.08,16.6,0.11,15.8,0.04,18.9,0.38,17,0.13,16.1,0.03,19.1,0.03,17.3,0.07,16.3,0.01,19.2,0.06,17.1,0.08,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
5/26/2017 00:00,2-3-I,0.03,16,0.02,15.4,0.03,14.7,0.03,15.2,0.05,15.1,0.06,14.2,0.04,14.7,0.03,14.5,0.03,14,0.07,15.4,0.03,15,0.05,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
7/19/2017 00:00,2-3-I,0.01,19.9,0.02,19.4,0.06,18.3,0.02,20.2,0.03,19.3,0.1,18.2,0.02,20.1,0.01,19.4,0.12,18,0.03,19.6,0.02,19.5,0.09,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
6/4/2017 00:00,2-3-I,0.01,15,0,14.5,0,14,0.01,14.8,0,14.5,0.01,14.2,0.01,14.9,0,14.6,0,14,0.01,14.5,0.09,13.9,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
6/13/2017 00:00,2-3-I,0.08,17.9,0.03,17,0,15.2,0.03,17.7,0.02,16.9,0,15.6,0.03,18,0.03,17.2,0,15.4,0.03,17.8,0,17.1,0,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
5/26/2017 00:00,2-3-R,0.04,17.6,0.02,15.7,0.03,16.2,0.03,17.7,0.02,15.1,0.01,14.5,0.03,16.5,0.02,15.7,0.01,14.7,0.02,17.2,0.02,15.2,0.03,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
7/19/2017 00:00,2-3-R,0,20.7,0.01,19.3,0.08,18.2,0.03,20.6,0.02,19.4,0.05,18.3,0.01,20.8,0.02,19.6,0.07,18.4,0.02,20.4,0.01,19.4,0.1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
6/4/2017 00:00,2-3-R,0.01,15.1,0.01,14.6,0,14.2,0.01,15,0.01,14.7,0,14.3,0.02,15.4,0.01,14.9,0,14.4,0.03,15.6,0,14.9,0,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
6/13/2017 00:00,2-3-R,0.02,19.6,0.01,17.6,0.06,15.7,0,18.9,0,17.8,0.02,16.3,0.07,19.6,0.2,17.4,0.02,16,0.01,20,0,17.2,0.08,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
5/26/2017 00:00,2-4-C,0.03,17.5,0.02,15.9,0.02,14.9,0.03,17.6,0.04,16.2,0.02,15.8,0.03,17.4,0.02,16.2,0.02,15.8,0.03,17.4,0.02,16.2,0.02,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
6/4/2017 00:00,2-4-C,0.03,15.2,0.02,14.4,0,14.2,0.02,15.4,0.01,14.8,0,14.1,0.03,15.5,0,14.9,0,14.3,0,15.8,0,14.7,0,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
6/12/2017 00:00,2-4-C,0.03,17.6,0.02,16,0,15.9,0.03,17.5,0.02,16.4,0,15.7,0.05,17.2,0.03,16.3,0,15.6,0.03,18.1,0,16,0,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
5/26/2017 00:00,2-4-I,0.03,15.6,0.04,15.1,0.12,14.5,0.1,15.2,0.04,14.7,0.12,14.1,0.02,16,0.08,15.2,0.28,14.2,0.03,15.7,0.13,14.6,0.19,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
6/4/2017 00:00,2-4-I,0.01,15.4,0,14.4,0.1,14,0.02,14.6,0.04,14,0.11,13.7,0.02,14.5,0.05,14,0.15,13.8,0.02,14.7,0.02,14.3,0.12,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
6/12/2017 00:00,2-4-I,0.03,16.4,0.04,15,0.15,14.2,0.04,16.5,0.03,15.3,0.09,13.8,0.03,17.2,0.02,16.1,0.07,14,0.04,16.6,0.01,15.4,0.2,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
5/26/2017 00:00,2-4-R,0.07,17.9,0.03,15.2,0.04,14.4,0.05,16.5,0.1,15,0.18,13.2,0.06,15.5,0.14,14.4,0.25,13.2,0.04,15.9,0.08,13.9,0.27,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May,L,MayL
6/4/2017 00:00,2-4-R,0.03,14.8,0.06,13.7,0.19,13.6,0.06,15.1,0.14,14.5,0.23,13.3,0.03,14.9,0.1,14.2,0.2,13.6,0.1,14.8,0.05,14.4,0.06,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,E,JuneE
6/12/2017 00:00,2-4-R,0.04,16.8,0.05,15.7,0.05,14.9,0.08,17.3,0.15,16,0.19,14.2,0.04,16.8,0.05,16.2,0.22,15,0.04,16.9,0.05,15.7,0.06,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
6/25/2017 00:00,2-4-R,0.03,18,0.11,17.4,0.27,16.4,0.05,17.8,0.1,17.6,0.24,16.7,0.05,17.9,0.09,17.5,0.1,16.6,0.04,17.6,0.03,17.8,0.08,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
6/25/2017 00:00,2-5-C,0.04,18,0,17.6,NA,NA,0,17.5,0,17.4,NA,NA,0,18.2,0,17.4,NA,NA,0,18.1,0,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
7/17/2017 00:00,2-5-C,0.01,20.3,0.01,19.1,NA,NA,0,20,0.01,19.3,NA,NA,0,20.2,0.02,19.5,NA,NA,0.01,20.7,0.01,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
7/17/2017 00:00,2-5-I,0.04,19.3,0.03,18.3,NA,NA,0.03,19.2,0.07,18.2,NA,NA,0.02,19.4,0.08,18.1,NA,NA,0.02,19.4,0.02,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
6/25/2017 00:00,2-5-I,0,17.4,0.01,16,0,15.8,0,17.3,0.03,16.4,0,16.3,0,17.3,0,16.3,0,16,0,17.6,0.03,16.2,0,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
7/17/2017 00:00,2-5-R,0,19.7,0.06,18.6,NA,NA,0.03,19.6,0.05,18.6,NA,NA,0.02,19.7,0.04,18.7,NA,NA,0,19.8,0,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
6/25/2017 00:00,2-5-R,0,17.8,0.01,17.5,0.02,17.2,0,18,0.06,17.4,0,17.3,0,18.2,0,17.6,0.03,17.2,0,17.6,0.03,17.7,0,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
6/25/2017 00:00,2-6-C,0,19.5,0.02,18.8,0.12,18.5,0,19.1,0.01,18.5,0.02,17.9,0.01,19.4,0.04,18.3,0.02,18,0,18.9,0.01,18.5,0.03,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
7/17/2017 00:00,2-6-C,0.01,20.8,0.02,19.6,0.03,19,0.03,20.6,0.03,19.7,0.04,19.1,0.02,20.9,0.02,19.5,0.04,19.2,0.01,20.6,0.04,19.8,0.06,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
6/25/2017 00:00,2-6-I,0.02,17.8,0,17.4,0.03,17.4,0.02,17.9,0.05,17.2,0,17.6,0.03,18.3,0,17.9,0.01,17.4,0,18.9,0.05,17.6,0.04,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
7/17/2017 00:00,2-6-I,0.01,19.9,0.02,19.1,0.03,18.4,0.03,19.7,0.02,19.3,0.04,18.2,0.03,19.7,0.05,19,0.04,18.3,0.05,19.8,0.03,19.3,0.04,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
6/25/2017 00:00,2-6-R,0.04,19.5,0,18.7,0.03,18,0.02,20.1,0.05,19.1,0,18.7,0.02,20.7,0.07,19.7,0.12,18.9,0.07,19.8,0.04,19.6,0,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,June,L,JuneL
7/17/2017 00:00,2-6-R,0.03,22.1,0.08,20.3,0.1,19.5,0.04,22.7,0.03,20,0.07,19.3,0.04,21.6,0.09,20.4,0.09,19.6,0.06,22.9,0.05,20.6,0.13,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July,E,JulyE
