Spp,Count,Plot,Direction,Fire.affected,Type,true.plot
Thelypteris noveboracensis,34,2-1-I,W,NA,I,2-1-I-W
Dryopteris triploidea,15,2-1-I,W,NA,I,2-1-I-W
Polystichum acrostichoides,18,2-1-I,W,NA,I,2-1-I-W
Ligustrum vulgare,3,2-1-I,SW,NA,I,2-1-I-SW
Celastrus orbiculatus,4,2-1-I,SW,NA,I,2-1-I-SW
Podophyllum peltatum,2,2-1-I,SW,NA,I,2-1-I-SW
Impatiens spp.,2,2-1-I,SW,NA,I,2-1-I-SW
Boehmeria spp.,2,2-1-I,SW,NA,I,2-1-I-SW
Polygonum spp.,2,2-1-I,SW,NA,I,2-1-I-SW
Parthenocissus quinquefolia,8,2-1-I,SW,NA,I,2-1-I-SW
Monocot,5,2-1-I,SW,NA,I,2-1-I-SW
Lindera benzoin,1,2-1-I,SW,NA,I,2-1-I-SW
Lindera benzoin,1,2-1-I,SW,NA,I,2-1-I-SW
Rosa multiflora,20,2-1-I,SW,NA,I,2-1-I-SW
Polystichum acrostichoides,45,2-1-I,SW,NA,I,2-1-I-SW
Thelypteris noveboracensis,28,2-1-I,SW,NA,I,2-1-I-SW
Dryopteris triploidea,15,2-1-I,SW,NA,I,2-1-I-SW
Lindera benzoin,24,2-1-C,Center,NA,C,2-1-C-Center
Ligustrum vulgare,16,2-1-C,Center,NA,C,2-1-C-Center
Parthenocissus quinquefolia,8,2-1-C,Center,NA,C,2-1-C-Center
Impatiens spp.,5,2-1-C,Center,NA,C,2-1-C-Center
Rubus spp.,7,2-1-C,Center,NA,C,2-1-C-Center
Boehmeria spp.,4,2-1-C,Center,NA,C,2-1-C-Center
Toxicodendron radicans,2,2-1-C,Center,NA,C,2-1-C-Center
Persicaria spp.,9,2-1-C,Center,NA,C,2-1-C-Center
Polygonum spp.,5,2-1-C,Center,NA,C,2-1-C-Center
Viola spp.,19,2-1-C,Center,NA,C,2-1-C-Center
Alliaria petiolata,2,2-1-C,Center,NA,C,2-1-C-Center
Oxalis spp.,4,2-1-C,Center,NA,C,2-1-C-Center
Berberis thunbergii,4,2-1-C,Center,NA,C,2-1-C-Center
Rosa multiflora,7,2-1-C,Center,NA,C,2-1-C-Center
Acer rubrum,5,2-1-C,Center,NA,C,2-1-C-Center
Vitis spp.,5,2-1-C,Center,NA,C,2-1-C-Center
Ilex spp.,1,2-1-C,Center,NA,C,2-1-C-Center
Dryopteris spp.,3,2-1-C,Center,NA,C,2-1-C-Center
Microstegium vimineum,5,2-1-C,Center,NA,C,2-1-C-Center
Acer rubrum,1,2-1-C,Center,NA,C,2-1-C-Center
Microstegium vimineum,130,2-1-C,SW,NA,C,2-1-C-SW
Berberis thunbergii,11,2-1-C,SW,NA,C,2-1-C-SW
Rubus spp.,53,2-1-C,SW,NA,C,2-1-C-SW
Lindera benzoin,10,2-1-C,SW,NA,C,2-1-C-SW
Celastrus orbiculatus,7,2-1-C,SW,NA,C,2-1-C-SW
Parthenocissus quinquefolia,6,2-1-C,SW,NA,C,2-1-C-SW
Oxalis spp.,1,2-1-C,SW,NA,C,2-1-C-SW
Boehmeria spp.,6,2-1-C,SW,NA,C,2-1-C-SW
Polygonum spp.,6,2-1-C,SW,NA,C,2-1-C-SW
Persicaria spp.,7,2-1-C,SW,NA,C,2-1-C-SW
Acer rubrum,4,2-1-C,SW,NA,C,2-1-C-SW
Rosa multiflora,6,2-1-C,SW,NA,C,2-1-C-SW
Alliaria petiolata,2,2-1-C,SW,NA,C,2-1-C-SW
Dryopteris triploidea,13,2-1-I,Center,NA,I,2-1-I-Center
Lindera benzoin,1,2-1-I,Center,NA,I,2-1-I-Center
Celastrus orbiculatus,1,2-1-I,Center,NA,I,2-1-I-Center
Acer rubrum,1,2-1-I,E,NA,I,2-1-I-E
Ligustrum vulgare,9,2-1-I,E,NA,I,2-1-I-E
Impatiens spp.,1,2-1-I,E,NA,I,2-1-I-E
Dryopteris triploidea,8,2-1-I,E,NA,I,2-1-I-E
Rubus spp.,20,2-1-R,Center,NA,R,2-1-R-Center
Ilex spp.,2,2-1-R,Center,NA,R,2-1-R-Center
Crataegus spp.,1,2-1-R,Center,NA,R,2-1-R-Center
Prunus serotina,1,2-1-R,Center,NA,R,2-1-R-Center
Berberis thunbergii,44,2-1-R,Center,NA,R,2-1-R-Center
Nyssa sylvatica,1,2-1-R,Center,NA,R,2-1-R-Center
Toxicodendron radicans,2,2-1-R,Center,NA,R,2-1-R-Center
Vitis spp.,5,2-1-R,Center,NA,R,2-1-R-Center
Viburnum acerifolium,5,2-1-R,Center,NA,R,2-1-R-Center
Parthenocissus quinquefolia,11,2-1-R,Center,NA,R,2-1-R-Center
Lindera benzoin,2,2-1-R,Center,NA,R,2-1-R-Center
Polygonum spp.,2,2-1-R,Center,NA,R,2-1-R-Center
Rosa multiflora,3,2-1-R,Center,NA,R,2-1-R-Center
Dryopteris intermedia,18,2-1-R,Center,NA,R,2-1-R-Center
Dryopteris triploidea,21,2-1-R,Center,NA,R,2-1-R-Center
Berberis thunbergii,11,2-1-R,N,NA,R,2-1-R-N
Lindera benzoin,8,2-1-R,N,NA,R,2-1-R-N
Parthenocissus quinquefolia,7,2-1-R,N,NA,R,2-1-R-N
Polygonum spp.,3,2-1-R,N,NA,R,2-1-R-N
Rubus spp.,5,2-1-R,N,NA,R,2-1-R-N
Persicaria spp.,13,2-1-R,N,NA,R,2-1-R-N
Impatiens spp.,1,2-1-R,N,NA,R,2-1-R-N
Microstegium vimineum,17,2-1-R,N,NA,R,2-1-R-N
Celastrus orbiculatus,1,2-1-R,N,NA,R,2-1-R-N
Vitis spp.,4,2-1-R,N,NA,R,2-1-R-N
Viburnum acerifolium,1,2-1-R,N,NA,R,2-1-R-N
Rosa multiflora,11,2-1-R,N,NA,R,2-1-R-N
Ligustrum vulgare,4,2-1-R,N,NA,R,2-1-R-N
Dryopteris triploidea,75,2-1-R,N,NA,R,2-1-R-N
Dryopteris intermedia,12,2-1-R,N,NA,R,2-1-R-N
Berberis thunbergii,1,2-6-C,Center,NA,C,2-6-C-Center
Dryopteris triploidea,8,2-6-C,Center,NA,C,2-6-C-Center
Polystichum acrostichoides,7,2-6-C,Center,NA,C,2-6-C-Center
Alliaria petiolata,1,2-6-C,Center,NA,C,2-6-C-Center
Microstegium vimineum,2400,2-6-C,Center,NA,C,2-6-C-Center
Berberis thunbergii,6,2-6-C,N,NA,C,2-6-C-N
Boehmeria spp.,11,2-6-C,N,NA,C,2-6-C-N
Dicot,1,2-6-C,N,NA,C,2-6-C-N
Microstegium vimineum,2400,2-6-C,N,NA,C,2-6-C-N
Parthenocissus quinquefolia,2,2-6-I,Center,NA,I,2-6-I-Center
Celastrus orbiculatus,1,2-6-I,Center,NA,I,2-6-I-Center
Dicot,3,2-6-I,Center,NA,I,2-6-I-Center
Microstegium vimineum,62,2-6-I,Center,NA,I,2-6-I-Center
Dicot,1,2-6-I,Center,NA,I,2-6-I-Center
Impatiens spp.,1,2-6-I,Center,NA,I,2-6-I-Center
Microstegium vimineum,600,2-6-I,NW,NA,I,2-6-I-NW
Boehmeria spp.,16,2-6-I,NW,NA,I,2-6-I-NW
Lindera benzoin,3,2-6-I,NW,NA,I,2-6-I-NW
Microstegium vimineum,450,2-6-R,N,NA,R,2-6-R-N
Berberis thunbergii,23,2-6-R,N,NA,R,2-6-R-N
Oxalis spp.,2,2-6-R,N,NA,R,2-6-R-N
Boehmeria spp.,3,2-6-R,N,NA,R,2-6-R-N
Dryopteris intermedia,2,2-6-R,N,NA,R,2-6-R-N
Lindera benzoin,3,2-6-R,N,NA,R,2-6-R-N
Vitis spp.,4,2-6-R,N,NA,R,2-6-R-N
Alliaria petiolata,3,2-6-R,N,NA,R,2-6-R-N
Parthenocissus quinquefolia,2,2-6-R,N,NA,R,2-6-R-N
Monocot,4,2-6-R,N,NA,R,2-6-R-N
Lindera benzoin,1,2-6-R,N,NA,R,2-6-R-N
Microstegium vimineum,450,2-6-R,Center,NA,R,2-6-R-Center
Vitis spp.,3,2-6-R,Center,NA,R,2-6-R-Center
Boehmeria spp.,4,2-6-R,Center,NA,R,2-6-R-Center
Oxalis spp.,9,2-6-R,Center,NA,R,2-6-R-Center
Cirsium spp.,1,2-6-R,Center,NA,R,2-6-R-Center
Asteraceae,1,2-6-R,Center,NA,R,2-6-R-Center
Parthenocissus quinquefolia,1,2-6-R,Center,NA,R,2-6-R-Center
Viola spp.,1,2-6-R,Center,NA,R,2-6-R-Center
Monocot,1,2-6-R,Center,NA,R,2-6-R-Center
Dicot,3,2-6-R,Center,NA,R,2-6-R-Center
Rosa multiflora,6,2-6-R,Center,NA,R,2-6-R-Center
Berberis thunbergii,9,2-6-R,Center,NA,R,2-6-R-Center
Liriodendron tulipifera,16,2-5-C,Center,NA,C,2-5-C-Center
Vitis spp.,5,2-5-C,Center,NA,C,2-5-C-Center
Boehmeria spp.,11,2-5-C,Center,NA,C,2-5-C-Center
Microstegium vimineum,46,2-5-C,Center,NA,C,2-5-C-Center
Monocot,10,2-5-C,Center,NA,C,2-5-C-Center
Rubus spp.,1,2-5-C,Center,NA,C,2-5-C-Center
Nyssa sylvatica,1,2-5-C,Center,NA,C,2-5-C-Center
Rosa multiflora,1,2-5-C,Center,NA,C,2-5-C-Center
Monocot,3,2-5-C,Center,NA,C,2-5-C-Center
Parthenocissus quinquefolia,1,2-5-C,Center,NA,C,2-5-C-Center
Viola spp.,1,2-5-C,Center,NA,C,2-5-C-Center
Dicot,2,2-5-C,Center,NA,C,2-5-C-Center
Microstegium vimineum,102,2-5-C,S,NA,C,2-5-C-S
Acer rubrum,1,2-5-C,S,NA,C,2-5-C-S
Boehmeria spp.,6,2-5-C,S,NA,C,2-5-C-S
Liriodendron tulipifera,4,2-5-C,S,NA,C,2-5-C-S
Rubus spp.,1,2-5-C,S,NA,C,2-5-C-S
Lindera benzoin,3,2-5-C,S,NA,C,2-5-C-S
Asteraceae,1,2-5-C,S,NA,C,2-5-C-S
Berberis thunbergii,3,2-5-C,S,NA,C,2-5-C-S
Vitis spp.,1,2-5-C,S,NA,C,2-5-C-S
Dicot,1,2-5-C,S,NA,C,2-5-C-S
Galium spp.,9,2-5-I,Center,NA,I,2-5-I-Center
Parthenocissus quinquefolia,2,2-5-I,Center,NA,I,2-5-I-Center
Lindera benzoin,6,2-5-I,Center,NA,I,2-5-I-Center
Asteraceae,1,2-5-I,Center,NA,I,2-5-I-Center
Microstegium vimineum,27,2-5-I,Center,NA,I,2-5-I-Center
Dryopteris spp.,3,2-5-I,Center,NA,I,2-5-I-Center
Rosa multiflora,1,2-5-I,Center,NA,I,2-5-I-Center
Monocot,3,2-5-I,NW,NA,I,2-5-I-NW
Rosa multiflora,1,2-5-I,NW,NA,I,2-5-I-NW
Persicaria spp.,1,2-5-I,NW,NA,I,2-5-I-NW
Prunus serotina,1,2-5-I,NW,NA,I,2-5-I-NW
Lindera benzoin,11,2-5-I,NW,NA,I,2-5-I-NW
Celastrus orbiculatus,1,2-5-I,NW,NA,I,2-5-I-NW
Crataegus spp.,2,2-5-I,NW,NA,I,2-5-I-NW
Microstegium vimineum,3,2-5-I,NW,NA,I,2-5-I-NW
Berberis thunbergii,16,2-5-R,Center,NA,R,2-5-R-Center
Liriodendron tulipifera,7,2-5-R,Center,NA,R,2-5-R-Center
Lindera benzoin,9,2-5-R,Center,NA,R,2-5-R-Center
Sassafras albidum,2,2-5-R,Center,NA,R,2-5-R-Center
Viola spp.,8,2-5-R,Center,NA,R,2-5-R-Center
Toxicodendron radicans,4,2-5-R,Center,NA,R,2-5-R-Center
Parthenocissus quinquefolia,1,2-5-R,Center,NA,R,2-5-R-Center
Dryopteris triploidea,3,2-5-R,Center,NA,R,2-5-R-Center
Asteraceae,12,2-5-R,Center,NA,R,2-5-R-Center
Berberis thunbergii,27,2-5-R,S,NA,R,2-5-R-S
Sassafras albidum,3,2-5-R,S,NA,R,2-5-R-S
Asteraceae,5,2-5-R,S,NA,R,2-5-R-S
Liriodendron tulipifera,4,2-5-R,S,NA,R,2-5-R-S
Microstegium vimineum,33,2-5-R,S,NA,R,2-5-R-S
Lindera benzoin,2,2-5-R,S,NA,R,2-5-R-S
Viola spp.,6,2-5-R,S,NA,R,2-5-R-S
Rubus spp.,4,2-5-R,S,NA,R,2-5-R-S
Rosa multiflora,2,2-5-R,S,NA,R,2-5-R-S
Boehmeria spp.,1,2-5-R,S,NA,R,2-5-R-S
Parthenocissus quinquefolia,1,2-5-R,S,NA,R,2-5-R-S
Rosa multiflora,28,2-4-C,Center,NA,C,2-4-C-Center
Parthenocissus quinquefolia,8,2-4-C,Center,NA,C,2-4-C-Center
Rubus spp.,9,2-4-C,Center,NA,C,2-4-C-Center
Toxicodendron radicans,28,2-4-C,Center,NA,C,2-4-C-Center
Quercus spp.,2,2-4-C,Center,NA,C,2-4-C-Center
Carya spp.,5,2-4-C,Center,NA,C,2-4-C-Center
Maianthemum spp.,1,2-4-C,Center,NA,C,2-4-C-Center
Ilex spp.,3,2-4-C,Center,NA,C,2-4-C-Center
Crataegus spp.,6,2-4-C,Center,NA,C,2-4-C-Center
Ligustrum vulgare,3,2-4-C,Center,NA,C,2-4-C-Center
Acer rubrum,18,2-4-C,Center,NA,C,2-4-C-Center
Vitis spp.,1,2-4-C,Center,NA,C,2-4-C-Center
Alnus spp.,5,2-4-C,Center,NA,C,2-4-C-Center
Lindera benzoin,2,2-4-C,Center,NA,C,2-4-C-Center
Nyssa sylvatica,5,2-4-C,Center,NA,C,2-4-C-Center
Monocot,18,2-4-C,Center,NA,C,2-4-C-Center
Monocot,6,2-4-C,Center,NA,C,2-4-C-Center
Dicot,3,2-4-C,Center,NA,C,2-4-C-Center
Dicot,1,2-4-C,Center,NA,C,2-4-C-Center
Ligustrum vulgare,7,2-4-C,N,NA,C,2-4-C-N
Lindera benzoin,6,2-4-C,N,NA,C,2-4-C-N
Rosa multiflora,13,2-4-C,N,NA,C,2-4-C-N
Berberis thunbergii,1,2-4-C,N,NA,C,2-4-C-N
Parthenocissus quinquefolia,15,2-4-C,N,NA,C,2-4-C-N
Toxicodendron radicans,20,2-4-C,N,NA,C,2-4-C-N
Prunus serotina,26,2-4-C,N,NA,C,2-4-C-N
Crataegus spp.,8,2-4-C,N,NA,C,2-4-C-N
Carya spp.,2,2-4-C,N,NA,C,2-4-C-N
Lonicera spp.,5,2-4-C,N,NA,C,2-4-C-N
Dicot,5,2-4-C,N,NA,C,2-4-C-N
Vitis spp.,6,2-4-C,N,NA,C,2-4-C-N
Nyssa sylvatica,5,2-4-C,N,NA,C,2-4-C-N
Acer rubrum,3,2-4-C,N,NA,C,2-4-C-N
Rubus spp.,1,2-4-C,N,NA,C,2-4-C-N
Ilex spp.,3,2-4-C,N,NA,C,2-4-C-N
Quercus spp.,2,2-4-C,N,NA,C,2-4-C-N
Fraxinus spp.,1,2-4-C,N,NA,C,2-4-C-N
Ligustrum vulgare,9,2-4-I,Center,NA,I,2-4-I-Center
Rubus spp.,5,2-4-I,Center,NA,I,2-4-I-Center
Celastrus orbiculatus,4,2-4-I,Center,NA,I,2-4-I-Center
Lindera benzoin,1,2-4-I,Center,NA,I,2-4-I-Center
Monocot,1,2-4-I,Center,NA,I,2-4-I-Center
Parthenocissus quinquefolia,5,2-4-I,Center,NA,I,2-4-I-Center
Monocot,1,2-4-I,Center,NA,I,2-4-I-Center
Polygonum spp.,1,2-4-I,Center,NA,I,2-4-I-Center
Lindera benzoin,4,2-4-I,Center,NA,I,2-4-I-Center
Lonicera spp.,4,2-4-I,Center,NA,I,2-4-I-Center
Ranunculus spp.,1,2-4-I,Center,NA,I,2-4-I-Center
Dryopteris triploidea,18,2-4-I,Center,NA,I,2-4-I-Center
Prunus serotina,2,2-4-I,Center,NA,I,2-4-I-Center
Oxalis spp.,1,2-4-I,Center,NA,I,2-4-I-Center
Acer rubrum,1,2-4-I,Center,NA,I,2-4-I-Center
Viola spp.,2,2-4-I,Center,NA,I,2-4-I-Center
Boehmeria spp.,1,2-4-I,S,NA,I,2-4-I-S
Polygonum spp.,1,2-4-I,S,NA,I,2-4-I-S
Ligustrum vulgare,12,2-4-I,S,NA,I,2-4-I-S
Dryopteris triploidea,5,2-4-I,S,NA,I,2-4-I-S
Celastrus orbiculatus,4,2-4-I,S,NA,I,2-4-I-S
Toxicodendron radicans,5,2-4-I,S,NA,I,2-4-I-S
Viola spp.,2,2-4-I,S,NA,I,2-4-I-S
Rubus spp.,1,2-4-I,S,NA,I,2-4-I-S
Parthenocissus quinquefolia,3,2-4-I,S,NA,I,2-4-I-S
Impatiens spp.,4,2-4-I,S,NA,I,2-4-I-S
Ligustrum vulgare,27,2-4-R,Center,NA,R,2-4-R-Center
Rosa multiflora,8,2-4-R,Center,NA,R,2-4-R-Center
Alliaria petiolata,11,2-4-R,Center,NA,R,2-4-R-Center
Boehmeria spp.,4,2-4-R,Center,NA,R,2-4-R-Center
Polygonum spp.,8,2-4-R,Center,NA,R,2-4-R-Center
Celastrus orbiculatus,13,2-4-R,Center,NA,R,2-4-R-Center
Monocot,1,2-4-R,Center,NA,R,2-4-R-Center
Viburnum acerifolium,4,2-4-R,Center,NA,R,2-4-R-Center
Oxalis spp.,3,2-4-R,Center,NA,R,2-4-R-Center
Galium spp.,4,2-4-R,Center,NA,R,2-4-R-Center
Symplocarpus foetidus,3,2-4-R,Center,NA,R,2-4-R-Center
Cardamine hirsuta,1,2-4-R,Center,NA,R,2-4-R-Center
Dryopteris spp.,2,2-4-R,Center,NA,R,2-4-R-Center
Monocot,4,2-4-R,Center,NA,R,2-4-R-Center
Carya spp.,1,2-4-R,Center,NA,R,2-4-R-Center
Oxalis spp.,27,2-4-R,E,NA,R,2-4-R-E
Parthenocissus quinquefolia,3,2-4-R,E,NA,R,2-4-R-E
Boehmeria spp.,7,2-4-R,E,NA,R,2-4-R-E
Ligustrum vulgare,7,2-4-R,E,NA,R,2-4-R-E
Cardamine hirsuta,3,2-4-R,E,NA,R,2-4-R-E
Mitchella repens,5,2-4-R,E,NA,R,2-4-R-E
Monocot,1,2-4-R,E,NA,R,2-4-R-E
Asteraceae,1,2-4-R,E,NA,R,2-4-R-E
Celastrus orbiculatus,2,2-4-R,E,NA,R,2-4-R-E
Lindera benzoin,2,2-4-R,E,NA,R,2-4-R-E
Carya spp.,3,2-4-R,E,NA,R,2-4-R-E
Alliaria petiolata,4,2-4-R,E,NA,R,2-4-R-E
Polygonum spp.,2,2-4-R,E,NA,R,2-4-R-E
Boehmeria spp.,3,2-4-R,E,NA,R,2-4-R-E
Rosa multiflora,4,2-2-I,Center,NA,I,2-2-I-Center
Crataegus spp.,5,2-2-I,Center,NA,I,2-2-I-Center
Viola spp.,3,2-2-I,Center,NA,I,2-2-I-Center
Rubus spp.,1,2-2-I,Center,NA,I,2-2-I-Center
Celastrus orbiculatus,3,2-2-I,Center,NA,I,2-2-I-Center
Toxicodendron radicans,3,2-2-I,Center,NA,I,2-2-I-Center
Parthenocissus quinquefolia,5,2-2-I,Center,NA,I,2-2-I-Center
Polystichum acrostichoides,4,2-2-I,Center,NA,I,2-2-I-Center
Acer rubrum,1,2-2-I,Center,NA,I,2-2-I-Center
Lindera benzoin,1,2-2-I,Center,NA,I,2-2-I-Center
Crataegus spp.,5,2-2-I,NW,NA,I,2-2-I-NW
Ligustrum vulgare,2,2-2-I,NW,NA,I,2-2-I-NW
Dryopteris triploidea,14,2-2-I,NW,NA,I,2-2-I-NW
Vaccinium spp.,2,2-2-I,NW,NA,I,2-2-I-NW
Celastrus orbiculatus,3,2-2-I,NW,NA,I,2-2-I-NW
Parthenocissus quinquefolia,2,2-2-I,NW,NA,I,2-2-I-NW
Viburnum acerifolium,1,2-2-I,NW,NA,I,2-2-I-NW
Epilobium spp.,1,2-2-I,NW,NA,I,2-2-I-NW
Berberis thunbergii,17,2-2-R,Center,NA,R,2-2-R-Center
Boehmeria spp.,6,2-2-R,Center,NA,R,2-2-R-Center
Celastrus orbiculatus,21,2-2-R,Center,NA,R,2-2-R-Center
Viola spp.,16,2-2-R,Center,NA,R,2-2-R-Center
Ligustrum vulgare,12,2-2-R,Center,NA,R,2-2-R-Center
Parthenocissus quinquefolia,8,2-2-R,Center,NA,R,2-2-R-Center
Monocot,5,2-2-R,Center,NA,R,2-2-R-Center
Rosa multiflora,16,2-2-R,Center,NA,R,2-2-R-Center
Galium spp.,12,2-2-R,Center,NA,R,2-2-R-Center
Vitis spp.,2,2-2-R,Center,NA,R,2-2-R-Center
Plantago spp.,2,2-2-R,Center,NA,R,2-2-R-Center
Monocot,3,2-2-R,Center,NA,R,2-2-R-Center
Dryopteris triploidea,9,2-2-R,Center,NA,R,2-2-R-Center
Thelypteris noveboracensis,70,2-2-R,Center,NA,R,2-2-R-Center
Onoclea sensibilis,2,2-2-R,Center,NA,R,2-2-R-Center
Polygonum spp.,2,2-2-R,Center,NA,R,2-2-R-Center
Prunus serotina,2,2-2-R,Center,NA,R,2-2-R-Center
Elaeagnus umbellata,1,2-2-R,Center,NA,R,2-2-R-Center
Berberis thunbergii,36,2-2-R,N,NA,R,2-2-R-N
Rosa multiflora,18,2-2-R,N,NA,R,2-2-R-N
Celastrus orbiculatus,24,2-2-R,N,NA,R,2-2-R-N
Parthenocissus quinquefolia,11,2-2-R,N,NA,R,2-2-R-N
Vitis spp.,5,2-2-R,N,NA,R,2-2-R-N
Boehmeria spp.,4,2-2-R,N,NA,R,2-2-R-N
Impatiens spp.,7,2-2-R,N,NA,R,2-2-R-N
Oxalis spp.,14,2-2-R,N,NA,R,2-2-R-N
Ligustrum vulgare,5,2-2-R,N,NA,R,2-2-R-N
Polygonum spp.,2,2-2-R,N,NA,R,2-2-R-N
Monocot,3,2-2-R,N,NA,R,2-2-R-N
Viola spp.,4,2-2-R,N,NA,R,2-2-R-N
Alliaria petiolata,2,2-2-R,N,NA,R,2-2-R-N
Galium spp.,21,2-2-R,N,NA,R,2-2-R-N
Elaeagnus umbellata,1,2-2-R,N,NA,R,2-2-R-N
Epilobium spp.,2,2-2-R,N,NA,R,2-2-R-N
Vaccinium spp.,2,2-2-R,N,NA,R,2-2-R-N
Polystichum acrostichoides,17,2-2-R,N,NA,R,2-2-R-N
Thelypteris noveboracensis,16,2-2-R,N,NA,R,2-2-R-N
Polygonum spp.,56,2-2-C,Center,NA,C,2-2-C-Center
Lamium purpureum,1,2-2-C,Center,NA,C,2-2-C-Center
Rubus spp.,8,2-2-C,Center,NA,C,2-2-C-Center
Boehmeria spp.,77,2-2-C,Center,NA,C,2-2-C-Center
Persicaria spp.,7,2-2-C,Center,NA,C,2-2-C-Center
Vitis spp.,2,2-2-C,Center,NA,C,2-2-C-Center
Berberis thunbergii,35,2-2-C,Center,NA,C,2-2-C-Center
Viola spp.,6,2-2-C,Center,NA,C,2-2-C-Center
Celastrus orbiculatus,7,2-2-C,Center,NA,C,2-2-C-Center
Lindera benzoin,8,2-2-C,Center,NA,C,2-2-C-Center
Monocot,3,2-2-C,Center,NA,C,2-2-C-Center
Rosa multiflora,18,2-2-C,Center,NA,C,2-2-C-Center
Parthenocissus quinquefolia,4,2-2-C,Center,NA,C,2-2-C-Center
Galium spp.,8,2-2-C,Center,NA,C,2-2-C-Center
Oxalis spp.,2,2-2-C,Center,NA,C,2-2-C-Center
Monocot,2,2-2-C,Center,NA,C,2-2-C-Center
Berberis thunbergii,21,2-2-C,S,NA,C,2-2-C-S
Toxicodendron radicans,3,2-2-C,S,NA,C,2-2-C-S
Vitis spp.,4,2-2-C,S,NA,C,2-2-C-S
Boehmeria spp.,35,2-2-C,S,NA,C,2-2-C-S
Celastrus orbiculatus,8,2-2-C,S,NA,C,2-2-C-S
Lindera benzoin,9,2-2-C,S,NA,C,2-2-C-S
Polygonum spp.,11,2-2-C,S,NA,C,2-2-C-S
Impatiens spp.,7,2-2-C,S,NA,C,2-2-C-S
Persicaria spp.,4,2-2-C,S,NA,C,2-2-C-S
Parthenocissus quinquefolia,7,2-2-C,S,NA,C,2-2-C-S
Epilobium spp.,2,2-2-C,S,NA,C,2-2-C-S
Ligustrum vulgare,4,2-2-C,S,NA,C,2-2-C-S
Galium spp.,6,2-2-C,S,NA,C,2-2-C-S
Monocot,5,2-2-C,S,NA,C,2-2-C-S
Viola spp.,5,2-2-C,S,NA,C,2-2-C-S
Elaeagnus umbellata,4,2-2-C,S,NA,C,2-2-C-S
Carya spp.,1,2-2-C,S,NA,C,2-2-C-S
Ranunculus spp.,2,2-2-C,S,NA,C,2-2-C-S
Epilobium spp.,1,2-2-C,S,NA,C,2-2-C-S
Rosa multiflora,6,2-2-C,S,NA,C,2-2-C-S
Polystichum acrostichoides,10,2-2-C,S,NA,C,2-2-C-S
Rubus spp.,1,2-2-C,S,NA,C,2-2-C-S
