DATE,PLOT ID,Ph,Mois,Ph,Mois,Ph,Mois,Ph,Mois,Ph,Mois,Ph,Mois
6/8/2017,1-1-C,NA,40,NA,32,NA,40,NA,35,NA,NA,NA,35
7/11/2017,1-1-C,6.5,40,6,50,6.6,35,6.4,42,NA,NA,6.2,45
6/2/2017,1-1-C,NA,38,NA,51,NA,54,NA,50,NA,NA,NA,48
5/24/2017,1-1-C,NA,30,NA,27,NA,44,NA,44,NA,NA,NA,52
6/8/2017,1-1-I,NA,77,NA,62,NA,61,NA,NA,NA,NA,NA,59
7/11/2017,1-1-I,5.2,82,5.6,68,5.8,70,NA,NA,NA,NA,5.9,60
6/2/2017,1-1-I,NA,78,NA,65,NA,58,NA,NA,NA,NA,NA,58
5/24/2017,1-1-I,NA,53,NA,72,NA,62,NA,NA,NA,NA,NA,61
6/8/2017,1-1-R,NA,70,NA,68,NA,69,NA,NA,NA,60,NA,61
7/11/2017,1-1-R,6,70,6,80,6.1,76,NA,NA,5.8,80,6,85
6/2/2017,1-1-R,NA,72,NA,71,NA,71,NA,NA,NA,59,NA,60
5/24/2017,1-1-R,NA,73,NA,80,NA,70,NA,NA,NA,67,NA,60
6/12/2017,1-2-C,6.5,39,6.2,71,6.2,65,6.3,56,NA,NA,6.6,50
5/26/2017,1-2-C,NA,48,NA,37,NA,38,NA,50,NA,54,NA,48
6/3/2017,1-2-C,NA,39,NA,59,NA,62,NA,39,NA,NA,NA,40
6/12/2017,1-2-I,6.5,50,6.3,64,6.3,50,NA,NA,NA,NA,6.1,44
5/26/2017,1-2-I,NA,52,NA,53,NA,51,NA,NA,NA,NA,NA,53
6/3/2017,1-2-I,NA,68,NA,51,NA,54,NA,NA,NA,NA,NA,53
6/12/2017,1-2-R,5.8,78,6.6,57,6.3,67,NA,NA,6.1,72,6.1,62
5/26/2017,1-2-R,NA,60,NA,50,NA,48,NA,NA,NA,60,NA,63
6/3/2017,1-2-R,NA,43,NA,49,NA,42,NA,NA,NA,62,NA,60
6/3/2017,1-3-C,NA,40,NA,32,NA,35,NA,40,NA,NA,NA,35
6/12/2017,1-3-C,6.8,25,6.7,27,6.3,40,6.7,29,NA,NA,6.8,26
5/26/2017,1-3-C,NA,34,NA,35,NA,48,NA,35,NA,NA,NA,35
6/3/2017,1-3-I,NA,54,NA,55,NA,62,NA,NA,NA,NA,NA,62
6/12/2017,1-3-I,6.6,48,6.7,47,6.6,48,NA,NA,NA,NA,6.1,48
5/26/2017,1-3-I,NA,61,NA,60,NA,53,NA,NA,NA,NA,NA,57
6/3/2017,1-3-R,NA,55,NA,40,NA,45,NA,NA,NA,52,NA,43
6/12/2017,1-3-R,6.8,39,6.9,26,6.9,41,NA,NA,6.1,50,6.4,41
5/26/2017,1-3-R,NA,51,NA,56,NA,52,NA,NA,NA,63,NA,57
6/8/2017,2-1-C,NA,40,NA,35,NA,35,NA,40,NA,NA,NA,NA
7/10/2017,2-1-C,6.8,28,6.9,30,6.7,22,6.9,18,NA,NA,NA,NA
6/2/2017,2-1-C,NA,35,NA,48,NA,34,NA,36,NA,NA,NA,NA
5/24/2017,2-1-C,NA,56,NA,51,NA,32,NA,48,NA,NA,NA,NA
6/8/2017,2-1-I,NA,58,NA,62,NA,63,NA,60,NA,NA,NA,NA
7/10/2017,2-1-I,5.9,67,5,56,5.8,51,5.8,52,NA,NA,NA,NA
6/2/2017,2-1-I,NA,50,NA,57,NA,62,NA,63,NA,NA,NA,NA
5/24/2017,2-1-I,NA,62,NA,67,NA,63,NA,60,NA,NA,NA,NA
6/8/2017,2-1-R,NA,52,NA,51,NA,52,NA,53,NA,NA,NA,NA
7/10/2017,2-1-R,6.6,52,6,53,5.8,58,6.2,50,NA,NA,NA,NA
6/2/2017,2-1-R,NA,57,NA,58,NA,52,NA,54,NA,NA,NA,NA
5/24/2017,2-1-R,NA,57,NA,56,NA,57,NA,56,NA,NA,NA,NA
6/3/2017,2-2-C,NA,70,NA,60,NA,62,NA,63,NA,NA,NA,NA
6/13/2017,2-2-C,6,64,5.6,81,6.1,65,6.1,65,NA,NA,NA,NA
7/19/2017,2-2-C,6,70,6,84,6.1,65,6.3,62,NA,NA,NA,NA
5/26/2017,2-2-C,NA,63,NA,61,NA,63,NA,53,NA,NA,NA,NA
6/3/2017,2-2-I,NA,73,NA,71,NA,68,NA,75,NA,NA,NA,NA
6/13/2017,2-2-I,6.4,40,6.4,58,6.3,49,6.5,62,NA,NA,NA,NA
7/19/2017,2-2-I,6.2,53,6.6,43,6.1,53,6.2,48,NA,NA,NA,NA
5/26/2017,2-2-I,NA,62,NA,68,NA,71,NA,72,NA,NA,NA,NA
6/3/2017,2-2-R,NA,72,NA,61,NA,67,NA,72,NA,NA,NA,NA
6/13/2017,2-2-R,6.5,68,6.2,57,6,72,6.1,68,NA,NA,NA,NA
7/19/2017,2-2-R,6.1,68,6,68,5.9,82,5.8,89,NA,NA,NA,NA
5/26/2017,2-2-R,NA,60,NA,63,NA,58,NA,68,NA,NA,NA,NA
6/4/2017,2-3-C,NA,42,NA,52,NA,51,NA,42,NA,NA,NA,NA
6/13/2017,2-3-C,6.9,54,6.1,52,6.5,58,6.7,51,NA,NA,NA,NA
7/19/2017,2-3-C,6.5,49,6.5,60,6.4,58,6.5,42,NA,NA,NA,NA
5/26/2017,2-3-C,NA,35,NA,40,NA,51,NA,50,NA,NA,NA,NA
6/4/2017,2-3-I,NA,56,NA,61,NA,60,NA,57,NA,NA,NA,NA
6/13/2017,2-3-I,6.8,28,6.9,26,6.9,42,6.7,54,NA,NA,NA,NA
7/19/2017,2-3-I,6.2,42,6.4,38,6.5,57,6.4,65,NA,NA,NA,NA
5/26/2017,2-3-I,NA,51,NA,58,NA,62,NA,78,NA,NA,NA,NA
6/4/2017,2-3-R,NA,58,NA,52,NA,46,NA,49,NA,NA,NA,NA
6/13/2017,2-3-R,6.6,31,6.5,30,6.8,53,6.7,41,NA,NA,NA,NA
7/19/2017,2-3-R,6.8,42,6.9,22,6.8,48,6.8,23,NA,NA,NA,NA
5/26/2017,2-3-R,NA,50,NA,56,NA,56,NA,52,NA,NA,NA,NA
6/4/2017,2-4-C,NA,35,NA,37,NA,23,NA,25,NA,NA,NA,NA
6/12/2017,2-4-C,6.2,16,6.3,22,6.2,34,6.7,25,NA,NA,NA,NA
5/26/2017,2-4-C,NA,40,NA,41,NA,48,NA,47,NA,NA,NA,NA
6/4/2017,2-4-I,NA,58,NA,54,NA,57,NA,58,NA,NA,NA,NA
6/12/2017,2-4-I,6.2,55,6.1,53,6.8,48,6.7,51,NA,NA,NA,NA
5/26/2017,2-4-I,NA,57,NA,56,NA,58,NA,52,NA,NA,NA,NA
6/4/2017,2-4-R,NA,58,NA,63,NA,52,NA,53,NA,NA,NA,NA
6/12/2017,2-4-R,6.8,63,6.9,75,6.7,69,6.5,70,NA,NA,NA,NA
6/25/2017,2-4-R,6.7,63,6.4,72,6.2,72,6.7,89,NA,NA,NA,NA
5/26/2017,2-4-R,NA,67,NA,70,NA,68,NA,60,NA,NA,NA,NA
6/25/2017,2-5-C,6.2,48,6.1,43,6.3,23,6.5,23,NA,NA,NA,NA
7/17/2017,2-5-C,6.7,28,6.8,32,6.8,23,6.6,33,NA,NA,NA,NA
6/25/2017,2-5-I,6.1,44,6.7,39,6.5,34,6.1,53,NA,NA,NA,NA
7/17/2017,2-5-I,6.2,46,6.3,41,6.1,36,6.3,35,NA,NA,NA,NA
6/25/2017,2-5-R,6.5,35,6.2,48,5.9,51,6,48,NA,NA,NA,NA
7/17/2017,2-5-R,6.1,58,6,54,6.1,46,6.3,45,NA,NA,NA,NA
6/25/2017,2-6-C,6.3,40,6.5,45,6.8,35,6.7,30,NA,NA,NA,NA
7/17/2017,2-6-C,6.7,60,6.2,52,6.5,33,6.7,41,NA,NA,NA,NA
6/25/2017,2-6-I,6.8,30,6.7,52,6.4,53,5.6,63,NA,NA,NA,NA
7/17/2017,2-6-I,6.3,48,6.3,48,6.2,49,6,52,NA,NA,NA,NA
6/25/2017,2-6-R,5.7,68,6,57,5.9,58,6,53,NA,NA,NA,NA
7/17/2017,2-6-R,6,67,6.1,82,6.2,74,6.1,76,NA,NA,NA,NA
