Site,Gen.Fam
IR-RG-11I,Lumbricidae.Amynthas
IR-LCB-8C,Lumbricidae.Allolobophora
IR-LCB-6I,Lumbricidae.Dendrodrilus
EHC-LLT-3C,Lumbricidae.Amynthas
EHC-LLT-3C,Lumbricidae.Dendrobaena
IR-MB-17C,Lumbricidae.Amynthas
IR-MB-17C,Lumbricidae.Octolasion
IR-MB-17I,Lumbricidae.Aporrectodea
LT-KM-22I,Lumbricidae.Aporrectodea
LT-KM-22I,Acanthodrilidae.Octolasion
IR-RG-12C,Acanthodrilidae.Octolasion
IR-RG-12C,Lumbricidae.Eisenia
IR-RG-12C,Lumbricidae.Aporrectodea
IR-RG-12C,Lumbricidae.Dendrobaena
IR-RG-12C,Acanthodrilidae.Octolasion
IR-RG-12C,Lumbricidae.Aporrectodea
IR-RB-12I,Lumbricidae.Eisenia
IR-RB-12I,Lumbricidae.Dendrobaena
IR-RB-12I,Lumbricidae.Dendrobaena
IR-LLB-6C,Lumbricidae.Amynthas
IR-LLB-6C,Lumbricidae.Dendrobaena
IR-LLB-6C,Lumbricidae.Eiseniella
LT-KM-21C,Lumbricidae.Eiseniella
LT-KM-21I,Lumbricidae.Eiseniella
LT-KM-21I,Lumbricidae.Amynthas
LT-KM-21I,Lumbricidae.Lumbricus
LT-KM-21I,Lumbricidae.Eisenia
IR-LLB-6I,Lumbricidae.Dendrodrilus
IR-LLB-6I,Lumbricidae.Amynthas
EHC-MW-18I,Megascolecidae.Amynthas
IR-MB-17I,Lumbricidae.Aporrectodea
EHC-LLT-3C,Lumbricidae.Amynthas
EHC-LLT-3C,Lumbricidae.Dendrobaena
LT-KM-25I,Lumbricidae.Lumbricus
LT-KM-25I,Lumbricidae.Dendrobaena
LT-KM-25I,Megascolecidae.Mynthas
IR-BC-16I,Lumbricidae.Dendrodrilus
LT-KM-21I,Lumbricidae.Aporrectodea
LT-KM-21I,Lumbricidae.Aporrectodea
IR-RG-10C,Lumbricidae.Dendrodrilus
IR-RG-9I,Lumbricidae.Dendrobaena
IR-LLB-7C,Lumbricidae.Aporrectodea
IR-LLB-7C,Lumbricidae.Lumbricus
IR-LLB-7C,Lumbricidae.Eisenia
IR-LLB-7C,Lumbricidae.Amynthas
IR-LLB-7C,Lumbricidae.Dendrodrilus
IR-LLB-8I,Lumbricidae.Amynthas
IR-LLB-8I,Lumbricidae.Lumbricus
IR-LLB-8I,Lumbricidae.Eisenia
IR-LLB-8I,Lumbricidae.Aporrectodea
IR-RG-26C,Lumbricidae.Octolasion
IR-RG-27C,Lumbricidae.Eisenia
IR-RG-27I,Lumbricidae.Eisenia
IR-RG-27I,Lumbricidae.Aporrectodea
IR-RG-27I,Lumbricidae.Amynthas
IR-RG-28C,Lumbricidae.Lumbricus
IR-RG-28C,Lumbricidae.Aporrectodea
IR-RG-28I,Lumbricidae.Aporrectodea
IR-RG-28I,Lumbricidae.Aporrectodea
IR-RG-28I,Lumbricidae.Aporrectodea
IR-RG-28I,Lumbricidae.Octolasion
IR-RG-29I,Lumbricidae.Amynthas
LT-KM-28I,Lumbricidae.Eisenia
IR-RG-30I,Lumbricidae.Eisenia
IR-BC-16C,Lumbricidae.Lumbricus
IR-BC-16C,Lumbricidae.Lumbricus
IR-BC-16C,Lumbricidae.Aporrectodea
IR-LCB-7C,Lumbricidae.Lumbricus
IR-LCB-7C,Lumbricidae.Dendrobaena
IR-RG-9I,Lumbricidae.Amynthas
IR-RG-11I,Lumbricidae.Dendrobaena
IR-LCB-11C,Lumbricidae.Dendrobaena
IR-LCB-11C,Lumbricidae.Octolasion
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-11C,Lumbricidae.Amynthas
IR-LCB-7C,Lumbricidae.Amynthas
IR-LCB-7C,Lumbricidae.Amynthas
IR-LCB-7C,Lumbricidae.Amynthas
IR-LCB-7C,Lumbricidae.Amynthas
IR-LCB-7C,Lumbricidae.Amynthas
IR-LCB-7C,Lumbricidae.Amynthas
IR-LCB-7C,Lumbricidae.Amynthas
IR-LCB-7C,Lumbricidae.Amynthas
IR-LCB-7C,Lumbricidae.Amynthas
IR-LCB-7C,Lumbricidae.Amynthas
IR-LCB-7C,Lumbricidae.Amynthas
IR-LCB-7C,Lumbricidae.Amynthas
IR-LCB-7C,Lumbricidae.Amynthas
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Aporrectodea
EHC-LLT-3I,Lumbricidae.Aporrectodea
EHC-LLT-3I,Lumbricidae.Aporrectodea
EHC-LLT-3C,Lumbricidae.Aporrectodea
EHC-LLT-3C,Lumbricidae.Aporrectodea
EHC-LLT-3C,Lumbricidae.Amynthas
EHC-LLT-3C,Lumbricidae.Amynthas
EHC-LLT-3C,Lumbricidae.Amynthas
IR-LCB-6I,Lumbricidae.Dendrobaena
IR-LCB-6I,Lumbricidae.Dendrobaena
IR-LCB-6I,Lumbricidae.Dendrobaena
IR-LCB-8C,Lumbricidae.Aporrectodea
IR-LCB-8C,Lumbricidae.Aporrectodea
IR-RG-12C,Lumbricidae.Dendrobaena
IR-RG-12C,Lumbricidae.Dendrobaena
IR-RB-12I,Acanthodrilidae.Octolasion
IR-RB-12I,Acanthodrilidae.Octolasion
IR-RB-12I,Lumbricidae.Aporrectodea
IR-RB-12I,Lumbricidae.Aporrectodea
IR-RB-12I,Lumbricidae.Aporrectodea
IR-RB-12I,Lumbricidae.Aporrectodea
IR-RB-12I,Lumbricidae.Aporrectodea
IR-RB-12I,Lumbricidae.Aporrectodea
IR-RB-12I,Lumbricidae.Aporrectodea
IR-LLB-6C,Lumbricidae.Dendrodrilus
IR-LLB-6C,Lumbricidae.Dendrodrilus
IR-LLB-6C,Lumbricidae.Dendrodrilus
IR-LLB-6C,Lumbricidae.Dendrodrilus
IR-LLB-6C,Lumbricidae.Dendrodrilus
IR-LLB-6C,Lumbricidae.Dendrodrilus
IR-LLB-6C,Lumbricidae.Dendrodrilus
IR-RG-12C,Lumbricidae.Dendrobaena
IR-RG-12C,Lumbricidae.Dendrobaena
IR-RB-12I,Acanthodrilidae.Octolasion
IR-RB-12I,Acanthodrilidae.Octolasion
IR-RB-12I,Lumbricidae.Aporrectodea
IR-RB-12I,Lumbricidae.Aporrectodea
IR-RB-12I,Lumbricidae.Aporrectodea
IR-RB-12I,Lumbricidae.Aporrectodea
IR-RB-12I,Lumbricidae.Aporrectodea
IR-RB-12I,Lumbricidae.Aporrectodea
IR-RB-12I,Lumbricidae.Aporrectodea
IR-LLB-6C,Lumbricidae.Eisenia
IR-LLB-6C,Lumbricidae.Eisenia
IR-LLB-6C,Lumbricidae.Eisenia
IR-LLB-6C,Lumbricidae.Eisenia
IR-LLB-6C,Lumbricidae.Eisenia
IR-LLB-6C,Lumbricidae.Eisenia
IR-LLB-6C,Lumbricidae.Eisenia
IR-LLB-6C,Lumbricidae.Eisenia
IR-LLB-6C,Lumbricidae.Lumbricus
IR-LLB-6C,Lumbricidae.Lumbricus
IR-LLB-6C,Lumbricidae.Lumbricus
IR-LLB-6C,Lumbricidae.Amynthas
IR-LLB-6C,Lumbricidae.Amynthas
IR-LLB-6C,Lumbricidae.Amynthas
LT-KM-21C,Lumbricidae.Lumbricus
LT-KM-21C,Lumbricidae.Lumbricus
LT-KM-21C,Lumbricidae.Lumbricus
LT-KM-21C,Lumbricidae.Lumbricus
LT-KM-21C,Lumbricidae.Eisenia
LT-KM-21C,Lumbricidae.Eisenia
LT-KM-21C,Lumbricidae.Dendrodrilus
LT-KM-21C,Lumbricidae.Dendrodrilus
LT-KM-21I,Lumbricidae.Aporrectodea
LT-KM-21I,Lumbricidae.Aporrectodea
IR-LLB-6I,Lumbricidae.Eiseniella
IR-LLB-6I,Lumbricidae.Eiseniella
EHC-MW-18I,Lumbricidae.Octolasion
EHC-MW-18I,Lumbricidae.Octolasion
EHC-MW-18I,Lumbricidae.Aporrectodea
EHC-MW-18I,Lumbricidae.Aporrectodea
EHC-MW-18I,Lumbricidae.Aporrectodea
EHC-MW-19C,Lumbricidae.Octolasion
EHC-MW-19C,Lumbricidae.Octolasion
EHC-MW-19C,Lumbricidae.Octolasion
EHC-MW-19C,Lumbricidae.Octolasion
EHC-MW-19C,Lumbricidae.Octolasion
EHC-MW-19C,Lumbricidae.Octolasion
EHC-MW-19C,Lumbricidae.Aporrectodea
EHC-MW-19C,Lumbricidae.Aporrectodea
EHC-MW-19C,Lumbricidae.Aporrectodea
EHC-MW-19C,Lumbricidae.Aporrectodea
EHC-MW-19C,Lumbricidae.Aporrectodea
EHC-MW-19C,Lumbricidae.Aporrectodea
EHC-MW-19C,Lumbricidae.Aporrectodea
IR-MB-17C,Lumbricidae.Amynthas
IR-MB-17C,Lumbricidae.Amynthas
IR-MB-17C,Lumbricidae.Octolasion
IR-MB-17C,Lumbricidae.Octolasion
EHC-LLT-3C,Lumbricidae.Amynthas
EHC-LLT-3C,Lumbricidae.Amynthas
EHC-LLT-3C,Lumbricidae.Amynthas
EHC-LLT-3C,Lumbricidae.Aporrectodea
EHC-LLT-3C,Lumbricidae.Aporrectodea
EHC-LLT-3I,Lumbricidae.Aporrectodea
EHC-LLT-3I,Lumbricidae.Aporrectodea
EHC-LLT-3I,Lumbricidae.Aporrectodea
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
EHC-LLT-3I,Lumbricidae.Octolasion
LT-KM-21I,Lumbricidae.Lumbricus
LT-KM-21I,Lumbricidae.Lumbricus
LT-KM-21I,Lumbricidae.Lumbricus
LT-KM-21I,Lumbricidae.Lumbricus
IR-RG-10C,Lumbricidae.Octolasion
IR-RG-10C,Lumbricidae.Octolasion
IR-RG-10C,Lumbricidae.Lumbricus
IR-RG-10C,Lumbricidae.Lumbricus
IR-RG-10C,Lumbricidae.Lumbricus
IR-RG-10C,Lumbricidae.Lumbricus
IR-RG-10C,Lumbricidae.Lumbricus
EHC-LLT-2I,Lumbricidae.Octolasion
EHC-LLT-2I,Lumbricidae.Octolasion
EHC-LLT-2I,Lumbricidae.Octolasion
EHC-LLT-2I,Lumbricidae.Octolasion
EHC-LLT-2I,Lumbricidae.Octolasion
EHC-LLT-2I,Lumbricidae.Octolasion
EHC-LLT-2I,Lumbricidae.Octolasion
EHC-LLT-2I,Lumbricidae.Octolasion
EHC-LLT-2I,Lumbricidae.Octolasion
EHC-LLT-2I,Lumbricidae.Octolasion
EHC-LLT-2I,Lumbricidae.Octolasion
EHC-LLT-2I,Lumbricidae.Octolasion
EHC-LLT-2I,Lumbricidae.Octolasion
EHC-LLT-2C,Lumbricidae.Octolasion
EHC-LLT-2C,Lumbricidae.Octolasion
EHC-LLT-2C,Lumbricidae.Octolasion
EHC-LLT-2C,Lumbricidae.Octolasion
EHC-LLT-2C,Lumbricidae.Octolasion
EHC-LLT-2C,Lumbricidae.Octolasion
EHC-LLT-2C,Lumbricidae.Octolasion
EHC-LLT-2C,Lumbricidae.Octolasion
EHC-LLT-2C,Lumbricidae.Octolasion
EHC-LLT-2C,Lumbricidae.Octolasion
IR-LLB-7C,Lumbricidae.Eiseniella
IR-LLB-7C,Lumbricidae.Eiseniella
IR-LLB-7C,Lumbricidae.Eisenia
IR-LLB-7C,Lumbricidae.Eisenia
IR-LLB-8I,Lumbricidae.Dendrodrilus
IR-LLB-8I,Lumbricidae.Dendrodrilus
IR-LLB-8I,Lumbricidae.Dendrodrilus
IR-LLB-8I,Lumbricidae.Aporrectodea
IR-LLB-8I,Lumbricidae.Aporrectodea
IR-LLB-8I,Lumbricidae.Aporrectodea
IR-LLB-8I,Lumbricidae.Aporrectodea
IR-LLB-8I,Lumbricidae.Aporrectodea
IR-LLB-8I,Lumbricidae.Aporrectodea
IR-LLB-8I,Lumbricidae.Aporrectodea
IR-LLB-8I,Lumbricidae.Aporrectodea
IR-LLB-8I,Lumbricidae.Aporrectodea
IR-RG-26C,Lumbricidae.Aporrectodea
IR-RG-26C,Lumbricidae.Aporrectodea
IR-RG-26C,Lumbricidae.Aporrectodea
IR-RG-26I,Lumbricidae.Amynthas
IR-RG-26I,Lumbricidae.Amynthas
IR-RG-26I,Lumbricidae.Amynthas
IR-RG-26I,Lumbricidae.Amynthas
IR-RG-26I,Lumbricidae.Aporrectodea
IR-RG-26I,Lumbricidae.Aporrectodea
IR-RG-26I,Lumbricidae.Octolasion
IR-RG-26I,Lumbricidae.Octolasion
IR-RG-27C,Lumbricidae.Aporrectodea
IR-RG-27C,Lumbricidae.Aporrectodea
IR-RG-27C,Lumbricidae.Aporrectodea
IR-RG-27C,Lumbricidae.Aporrectodea
IR-RG-27C,Lumbricidae.Aporrectodea
